no_below,no_above,allowed_postags,custom_remove,num_topics,coherence_cv,coherence_umass,vocab_size
10,0.5,,,7,0.383517296887457,-6.655669678297906,163
10,0.65,,,7,0.383517296887457,-6.655669678297906,163
10,0.7,,,7,0.383517296887457,-6.655669678297906,163
10,0.8,,,7,0.383517296887457,-6.655669678297906,163
2,0.6,,,5,0.4075125759233855,-6.673873285380995,816
2,0.75,,,5,0.4075125759233855,-6.673873285380995,816
2,0.8,,,5,0.4075125759233855,-6.673873285380995,816
2,0.5,,,5,0.4075125759233855,-6.673873285380995,816
2,0.55,,,5,0.4075125759233855,-6.673873285380995,816
2,0.7,,,5,0.4075125759233855,-6.673873285380995,816
2,0.65,,,5,0.4075125759233855,-6.673873285380995,816
3,0.3,,,6,0.44756027217626565,-6.690726317505164,579
3,0.35,,,6,0.44756027217626565,-6.690726317505164,579
8,0.35,,,5,0.403346008091045,-6.712528585132048,211
8,0.3,,,5,0.403346008091045,-6.712528585132048,211
6,0.4,,,5,0.47158256387350717,-6.7140264751187235,287
10,0.45,,,6,0.40482429497633055,-6.733462916917689,162
5,0.4,,,4,0.4522515602671019,-6.740920849202601,350
8,0.45,,,8,0.4150657904175836,-6.752174345684235,213
7,0.7,,,5,0.45404151227986833,-6.7645916768758365,247
7,0.65,,,5,0.45404151227986833,-6.7645916768758365,247
7,0.6,,,5,0.45404151227986833,-6.7645916768758365,247
7,0.75,,,5,0.45404151227986833,-6.7645916768758365,247
7,0.55,,,5,0.45404151227986833,-6.7645916768758365,247
7,0.8,,,5,0.45404151227986833,-6.7645916768758365,247
7,0.5,,,5,0.45404151227986833,-6.7645916768758365,247
10,0.25,,,6,0.3936788847441152,-6.777005529741121,159
9,0.25,,,6,0.4109828672142874,-6.821037889792401,179
9,0.3,,,5,0.40413069668273127,-6.828925843702561,180
9,0.35,,,5,0.40413069668273127,-6.828925843702561,180
8,0.4,,,6,0.3835293814194696,-6.853764855449356,212
9,0.5,,,6,0.43973691862375586,-6.872717286364228,183
9,0.6,,,6,0.43973691862375586,-6.872717286364228,183
9,0.55,,,6,0.43973691862375586,-6.872717286364228,183
9,0.65,,,6,0.43973691862375586,-6.872717286364228,183
9,0.7,,,6,0.43973691862375586,-6.872717286364228,183
9,0.75,,,6,0.43973691862375586,-6.872717286364228,183
9,0.8,,,6,0.43973691862375586,-6.872717286364228,183
10,0.6,,,10,0.36907185891365873,-6.879646689230415,163
10,0.5,,,10,0.36907185891365873,-6.879646689230415,163
10,0.55,,,10,0.36907185891365873,-6.879646689230415,163
10,0.65,,,10,0.36907185891365873,-6.879646689230415,163
10,0.7,,,10,0.36907185891365873,-6.879646689230415,163
10,0.75,,,10,0.36907185891365873,-6.879646689230415,163
10,0.8,,,10,0.36907185891365873,-6.879646689230415,163
10,0.35,,,6,0.37796097781872057,-6.882252076250837,160
10,0.3,,,6,0.37796097781872057,-6.882252076250837,160
6,0.35,,,5,0.4141283572378893,-6.896297690871236,286
6,0.3,,,5,0.4141283572378893,-6.896297690871236,286
10,0.75,,,9,0.4126272360681727,-6.904827958116805,163
10,0.6,,,9,0.4126272360681727,-6.904827958116805,163
10,0.55,,,9,0.4126272360681727,-6.904827958116805,163
10,0.7,,,9,0.4126272360681727,-6.904827958116805,163
10,0.65,,,9,0.4126272360681727,-6.904827958116805,163
10,0.5,,,9,0.4126272360681727,-6.904827958116805,163
10,0.8,,,9,0.4126272360681727,-6.904827958116805,163
4,0.3,,,5,0.41993479086426777,-6.913833225683781,445
4,0.35,,,5,0.41993479086426777,-6.913833225683781,445
8,0.25,,,5,0.4206099695041308,-6.917719609852831,210
10,0.25,,,7,0.39672794946739903,-6.996953802269762,159
6,0.45,,,7,0.4168783519306853,-7.066203428315747,288
9,0.4,,,6,0.41015719764723785,-7.067846183360538,181
3,0.4,,,6,0.41356656620983734,-7.0760847314109805,580
10,0.45,,,9,0.38848507179144054,-7.077678274770049,162
10,0.3,,,7,0.3737747910029704,-7.081524253075704,160
10,0.35,,,7,0.3737747910029704,-7.081524253075704,160
8,0.3,,,7,0.3693186194438386,-7.086070660427208,211
8,0.35,,,7,0.3693186194438386,-7.086070660427208,211
3,0.25,,,5,0.4341923668260166,-7.090249383282559,578
9,0.45,,,7,0.3731859792121887,-7.094053803265071,182
8,0.3,,,6,0.4082162990837057,-7.116623451887762,211
8,0.35,,,6,0.4082162990837057,-7.116623451887762,211
