max_features,ngram_range,min_df,max_df,stop_words,strip_accents,lowercase,init,n_init,max_iter,n_clusters,random_state,inertia,silhouette
100,"(1, 3)",3,0.6,english,ascii,True,k-means++,10,1000,18,100,299.5712717090827,0.07133498781596126
100,"(1, 3)",3,0.6,english,ascii,True,k-means++,10,1000,19,100,297.403324785618,0.06858416127003254
100,"(1, 3)",3,0.6,english,ascii,True,k-means++,10,1000,20,100,292.6849506504969,0.07926526334768427
100,"(1, 3)",3,0.65,english,ascii,True,k-means++,10,1000,2,100,379.94991411237027,0.042739259268188765
100,"(1, 3)",3,0.65,english,ascii,True,k-means++,10,1000,3,100,369.81094701135305,0.04702818002920028
100,"(1, 3)",3,0.65,english,ascii,True,k-means++,10,1000,4,100,359.83503036785004,0.05347691394552426
100,"(1, 3)",3,0.65,english,ascii,True,k-means++,10,1000,5,100,352.2651004250483,0.057515693662468524
100,"(1, 3)",3,0.65,english,ascii,True,k-means++,10,1000,6,100,347.29653118606484,0.057828412293380684
100,"(1, 3)",3,0.65,english,ascii,True,k-means++,10,1000,7,100,342.4757677146872,0.05294346122605177
100,"(1, 3)",3,0.65,english,ascii,True,k-means++,10,1000,8,100,336.42926134141237,0.06555280803587975
100,"(1, 3)",3,0.65,english,ascii,True,k-means++,10,1000,9,100,334.6713276450802,0.06059918998168377
100,"(1, 3)",3,0.65,english,ascii,True,k-means++,10,1000,10,100,328.8946233794919,0.062020306467024784
100,"(1, 3)",3,0.65,english,ascii,True,k-means++,10,1000,11,100,323.5229978521994,0.06908549148383027
100,"(1, 3)",3,0.65,english,ascii,True,k-means++,10,1000,12,100,321.3913181296756,0.06381996971290918
100,"(1, 3)",3,0.65,english,ascii,True,k-means++,10,1000,13,100,314.84186456727923,0.06649587352838472
100,"(1, 3)",3,0.65,english,ascii,True,k-means++,10,1000,14,100,311.2662648414659,0.07555289438981447
100,"(1, 3)",3,0.65,english,ascii,True,k-means++,10,1000,15,100,305.4062847134996,0.07639563409971441
100,"(1, 3)",3,0.65,english,ascii,True,k-means++,10,1000,16,100,305.6533122028119,0.07499565472061731
100,"(1, 3)",3,0.65,english,ascii,True,k-means++,10,1000,17,100,300.9872457146794,0.07805853379718256
100,"(1, 3)",3,0.65,english,ascii,True,k-means++,10,1000,18,100,299.5712717090827,0.07133498781596126
100,"(1, 3)",3,0.65,english,ascii,True,k-means++,10,1000,19,100,297.403324785618,0.06858416127003254
100,"(1, 3)",3,0.65,english,ascii,True,k-means++,10,1000,20,100,292.6849506504969,0.07926526334768427
100,"(1, 3)",3,0.7,english,ascii,True,k-means++,10,1000,2,100,379.94991411237027,0.042739259268188765
100,"(1, 3)",3,0.7,english,ascii,True,k-means++,10,1000,3,100,369.81094701135305,0.04702818002920028
100,"(1, 3)",3,0.7,english,ascii,True,k-means++,10,1000,4,100,359.83503036785004,0.05347691394552426
100,"(1, 3)",3,0.7,english,ascii,True,k-means++,10,1000,5,100,352.2651004250483,0.057515693662468524
100,"(1, 3)",3,0.7,english,ascii,True,k-means++,10,1000,6,100,347.29653118606484,0.057828412293380684
100,"(1, 3)",3,0.7,english,ascii,True,k-means++,10,1000,7,100,342.4757677146872,0.05294346122605177
100,"(1, 3)",3,0.7,english,ascii,True,k-means++,10,1000,8,100,336.42926134141237,0.06555280803587975
100,"(1, 3)",3,0.7,english,ascii,True,k-means++,10,1000,9,100,334.6713276450802,0.06059918998168377
100,"(1, 3)",3,0.7,english,ascii,True,k-means++,10,1000,10,100,328.8946233794919,0.062020306467024784
100,"(1, 3)",3,0.7,english,ascii,True,k-means++,10,1000,11,100,323.5229978521994,0.06908549148383027
100,"(1, 3)",3,0.7,english,ascii,True,k-means++,10,1000,12,100,321.3913181296756,0.06381996971290918
100,"(1, 3)",3,0.7,english,ascii,True,k-means++,10,1000,13,100,314.84186456727923,0.06649587352838472
100,"(1, 3)",3,0.7,english,ascii,True,k-means++,10,1000,14,100,311.2662648414659,0.07555289438981447
100,"(1, 3)",3,0.7,english,ascii,True,k-means++,10,1000,15,100,305.4062847134996,0.07639563409971441
100,"(1, 3)",3,0.7,english,ascii,True,k-means++,10,1000,16,100,305.6533122028119,0.07499565472061731
100,"(1, 3)",3,0.7,english,ascii,True,k-means++,10,1000,17,100,300.9872457146794,0.07805853379718256
100,"(1, 3)",3,0.7,english,ascii,True,k-means++,10,1000,18,100,299.5712717090827,0.07133498781596126
100,"(1, 3)",3,0.7,english,ascii,True,k-means++,10,1000,19,100,297.403324785618,0.06858416127003254
100,"(1, 3)",3,0.7,english,ascii,True,k-means++,10,1000,20,100,292.6849506504969,0.07926526334768427
100,"(1, 3)",3,0.75,english,ascii,True,k-means++,10,1000,2,100,379.94991411237027,0.042739259268188765
100,"(1, 3)",3,0.75,english,ascii,True,k-means++,10,1000,3,100,369.81094701135305,0.04702818002920028
100,"(1, 3)",3,0.75,english,ascii,True,k-means++,10,1000,4,100,359.83503036785004,0.05347691394552426
100,"(1, 3)",3,0.75,english,ascii,True,k-means++,10,1000,5,100,352.2651004250483,0.057515693662468524
100,"(1, 3)",3,0.75,english,ascii,True,k-means++,10,1000,6,100,347.29653118606484,0.057828412293380684
100,"(1, 3)",3,0.75,english,ascii,True,k-means++,10,1000,7,100,342.4757677146872,0.05294346122605177
100,"(1, 3)",3,0.75,english,ascii,True,k-means++,10,1000,8,100,336.42926134141237,0.06555280803587975
100,"(1, 3)",3,0.75,english,ascii,True,k-means++,10,1000,9,100,334.6713276450802,0.06059918998168377
100,"(1, 3)",3,0.75,english,ascii,True,k-means++,10,1000,10,100,328.8946233794919,0.062020306467024784
100,"(1, 3)",3,0.75,english,ascii,True,k-means++,10,1000,11,100,323.5229978521994,0.06908549148383027
100,"(1, 3)",3,0.75,english,ascii,True,k-means++,10,1000,12,100,321.3913181296756,0.06381996971290918
100,"(1, 3)",3,0.75,english,ascii,True,k-means++,10,1000,13,100,314.84186456727923,0.06649587352838472
